Num,star_name,Distance,Mass,Radius,Luminosity,Num,Star,Distance,Mass,Radius
38,Kaus Australis,0140,3.5,6.8,360,99,2MASSI J1010148-040649 [de],55.0,0.00093549624,205.83428899999998

39,Avior,0630,9.0,130,"60,000",102,2MASS J10224821+5825453 [de],60.0,0.00134596908,206.34810399999998

40,Alkaid,0104,6.1,3.4,"1,350",103,2MASSW J1036530-344138 [de],53.0,0.00092595036,205.73152599999997

41,Menkalinan,081,2.39,2.77,50,104,2MASS J1047538+212423 [de],34.4,0.00089731272,205.423237

42,Atria,0390,7,92,"5,500",105,DEN 1048-3956,13.15,0.00102140916,205.52599999999998

43,Alhena,0109,2.8,3.3,120,106,Luhman 16B,6.516,0.0009736797600000001,206.861919

44,Peacock,0180,5.9,4.8,"2,200",107,Luhman 16A,6.516,0.00096413388,206.861919

45,Alsephina[2],0080,2.4,2.9,90,108,DENIS-P J1058.7−1548,49.0,0.000954588,205.21771099999998

46,Mirzam,0500,13.5,10,"27,000",110,Cha 110913-773444,163.0,0.0017182584,206.03981499999998

47,Polaris,0430,5.4,39,"2,500",113,2MASS J11145133−2618235,18.2,0.00091640448,206.03981499999998

48,Alphard,0180,3.0,50,780,116,2MASS J11544223-3400390 [de],129.0,0.001431882,205.83428899999998

49,Mintaka,01200,24,16.5,"190,000",117,2MASSW J1155395-372735 [de],31.0,0.000954588,205.73152599999997

50,Scheat,0196,2.1,95,"1,500",121,2MASSI J1217110-031113 [de],36.0,0.00089731272,205.423237

51,Almaaz,0653,15,140,"43,000",124,2M 1237+6526,45.6,0.00089731272,205.83428899999998

52,Rasalgethi,0360,2.8,280,"8,300",127,SDSSp J125453.90-012247.4 [de],38.0,0.00093549624,205.52599999999998

53,Tau Ceti,011.9,0.783,0.893,0.52,128,Kelu-1A,61.0,0.00093549624,205.21771099999998

54,Delta Pavonis,019.92,0.991,1.22,1.22,129,Kelu-1B,61.0,0.00093549624,205.21771099999998

55,Ran,010.48,0.82,0.74,0.34,131,SDSSp J132629.82-003831.5 [de],65.0,0.00092595036,205.52599999999998

56,V382 Carinae,"08,900",20,485,"212,000",132,SDSSp J134646.45-003150.4 [de],48.0,0.00089731272,205.52599999999998

57,Eta Carinae,"07,500",100,60–881,"5,000,000",135,SDSS J141659.78+500626.4 [de],149.0,0.0009450421200000001,206.142578

58,Delta Cephei,0887,4.5,44.5,"2,000",136,DENIS-P J142527.97-365023.4 [de],38.0,0.00126005616,205.937052

59,Mu Cephei,"06,000",19.2,972,"135,000",140,2MASS J14482563+1031590 [de],47.0,0.0009450421200000001,205.83428899999998

60,Titawin,044.25,1.27,1.48,3.57,141,CFBDSIR 1458+10A,104.0,0.001431882,206.55363

61,Rho Cassiopeiae,"08,154",22,636-981,"347,000 - 530,000",142,CFBDSIR 1458+10B,104.0,0.0012409644000000001,206.55363

62,P Cygni,"05,545",30,76,"610,000",144,2MASS 1503+2525,20.7,0.00089731272,205.83428899999998

63,La Superba,"01,000",,129 - 342,"2,472 - 5,800",146,2MASSW J1506544+132106 [de],46.0,0.0009736797600000001,205.52599999999998

64,VV Cephei,"04,900",18.2,"516 - 1,050","200,000",147,2MASS 1507−1627,23.9,0.0009450421200000001,205.52599999999998

65,61 Cygni,011.41,0.7,0.665,0.153,150,2MASSW J1515008+484742 [de],34.0,0.0009450421200000001,205.83428899999998

66,R Doradus,0178,0.7 - 1.0,298,"4,350",151,2MASSI J1526140+204341 [de],67.0,0.00093549624,205.52599999999998

67,Polaris Australis,0281,1.59,3.74,38,152,DENIS-P J153941.96-052042.4 [de],51.0,0.000954588,205.937052

68,R Coronae Borealis,"04,566",0.85,85,"10,000",153,2MASS J15462718-3325111 [de],37.0,0.00089731272,205.73152599999997

69,54 Piscium,036.1,0.76,0.94,0.52,154,2MASSW J1552591+294849 [de],68.0,0.00136506084,205.83428899999998

70,Mira,0300,1.2,370,"9,000",155,2MASSW J1555157-095605 [de],44.0,0.0009832256400000002,205.73152599999997

71,RW Cephei,"014,000",13.9,"1,158","417,000",156,2MASS J16150413+1340079 [de],48.0,0.00089731272,206.245341

72,Lacaille 8760,012.87,0.6,0.51,0.072,157,SDSSp J162414.37+002915.6 [de],36.0,0.00089731272,205.423237

73,V838 Monocerotis,"019,896",?,380 - 750,"15,000",158,2MASS J16262034+3925190 [de],110.0,0.0009832256400000002,205.937052

74,HD 140283,0190,?,1.4,3.83,159,2MASSW J1632291+190441 [de],50.0,0.00092595036,205.423237

75,II Pegasi,0130,0.8,3.4,1.06,161,LSPM J1658+7027 [de],60.0,0.00099277152,205.52599999999998

76,VY Canis Majoris,"03,900",17,"1,420","178,000 - 270,000",166,LSR J1835+3259,18.5,0.00102140916,205.83428899999998

77,Pistol Star,"025,000",100,320,"1,700,000",174,PSO J318.5−22,80.0,0.00146051964,206.861919

78,S Doradus,"0169,000",24,380,"910,000",182,2MASS J22282889-4310262,35.0,0.00089731272,206.861919

79,UY Scuti,"05,100",7–10,755,"86,300 - 87,100",226,WISE 0410+1502,20.0,0.00111686796,206.55363

80,Barnard's Star,05.98,0.14,0.20,0.0035,230,WISE 0458+6434A,35.9,0.0040092696,206.55363

81,Luhman 16,06.52,0.04,?,?,231,WISE 0458+6434B,35.9,0.0036274344,206.55363

82,Proxima Centauri,04.25,0.12,0.15,0.0017,285,WISE 1405+5534,25.3,0.00082094568,206.55363
